お名前(HN可),所属陣営,今年上場廃止になりそうな会社は？
KS,所属なし,7266 今仙電機製作所 ホンダ-日産をきっかけに業界再編機運高まる。現関係会社であるテイ・エス テックから完全子会社化するためのTOBされ上場廃止へ
太郎ちゃん,勉強会未参加,7267　ユタカ技研　本田系部品メーカー　TOB候補
天パの電波ちゃん,神戸投資勉強会,7299 フジオーゼックス
ビョル,神戸投資勉強会,7299フジオーゼックス　親子上場
前田嘉一,神戸投資勉強会,"7326 ＳＢＩインシュアランスG
親子上場。SBIが６割保有。PBR0.61。SBI傘下の損保、生保の子会社が多様な商品提供している。SBIからのTOBにより上場廃止を予想する。"
お蝶,湘南投資勉強会,7326 デコルテ ミクシィによる買収
さすけ,湘南投資勉強会,7388　FPパートナー　営業スタイルに問題あり
愛媛のユウ,神戸投資勉強会,7388 FPパートナー 金融庁立ち入り検査辺りから雲行きが怪しく，上場廃止になりそうな気がします。
おとわ,湘南投資勉強会,7414 小野建　業績不振
ヒロユキ,初参加,7445 ライトオン 長期赤字、財務も悪い。
のりこ,湘南投資勉強会,"7445 ライトオン
赤字の幅が増えてっている"
イド,湘南投資勉強会,7450 サンデー 完全子会社化
kent,湘南投資勉強会,7451 三菱食品 TOB 
円蔵,湘南投資勉強会,7451三菱食品　TOB候補。総合商社の食品商社は完全子会社になっているので。
カヌレ,湘南投資勉強会,7455パリミキホールディングス　エシロールルックスオティカがM&A
こうへい,湘南投資勉強会,7467 萩原電気ホールディングス メインの仕入れ先であるルネサスが商流の再編を進めており、大きめの半導体商社への商流統合意向が出てきた際にマクニカのグローセル買収のような動きが出てくる可能性があるため。
ひろやん,無所属（一度、湘南投資勉強会に参加）,7494 コナカ 赤字が継続しており業績回復の見込みがないため。
まちゃ,湘南投資勉強会,7544 スリーエフ コンビニは大きなところがTOBされている。TOB狙われるか？
なのなの,湘南投資勉強会,7544 スリーエフ　再編中のコンビニ業界において、ローソンからのTOB期待
たかたか,神戸投資勉強会,"7544 スリーエフ
ローソンからTOBによる上場廃止"
牛肉太郎,神戸投資勉強会,7564　ワークマン　どちらかといえば好き勝手したい会社でありそこが魅力なため、上場しているデメリットの方が大きそう。
rokuroku,湘南投資勉強会,7601　ポプラ
けん,湘南投資勉強会,"7601 ポプラ
親会社が買うのでは？"
かもめ,湘南投資勉強会,7610　テイツー。成長意欲ありそうなトレジャーファクトリーの不得意分野で安くなっててほしそうだし、買えなくもなさそうだなって思って。きっとないけど。
サントーシー,湘南投資勉強会,7627 本田技研工業　日産自動車との統合
sakumaT,湘南投資勉強会,7630  壱番屋    子会社ということで上場廃止期待
にゃり,湘南投資勉強会,7640 トップカルチャー 取次による流通価格転嫁により、出版社による書籍の価格高騰。紙の書籍が売れなくなる。
コブダイバー,神戸投資勉強会,"7640 トップカルチャー
業績、資金繰りともに厳しい"
さざなみ,湘南投資勉強会,7732　トプコン  非公開化期待
はな,湘南投資勉強会,7794　EDP　ダイヤモンド価格下落による業績不振
KM,神戸投資勉強会,7831　ウイルコHLD　特別注意市場銘柄
rokuroku,湘南投資勉強会,7849　スターツ出版　MBO
奥中 悠二朗,湘南投資勉強会,7849 スターツ出版 TOB
朝昼晩飯,湘南投資勉強会,7849　スターツ出版　維持基準厳しくMBOが可能な現預金水準のため
ひかり,無所属,7918ヴィアHD TOB
Mくんニキ,神戸投資勉強会,7937 ツツミ  さすがにそろそろいいのでは
朝昼晩飯,湘南投資勉強会,7946　光陽社　維持基準厳しくMBOが可能な現預金水準のため
めそ,湘南投資勉強会,7970  信越ポリマー
人間,湘南投資勉強会,7970 信越ポリマ 信越化学工業によるTOB
次男坊,神戸投資勉強会,7970 信越ポリマー 三益半導体に続いて親子上場解消？
いなじぃ,無所属,7970 信越ポリマー　信越化学にTOB
au3（ナカ）,湘南投資勉強会,7970 信越ポリマー 信越化学のtob
牛肉太郎,神戸投資勉強会,7970　信越ポリマー　信越化学は、三益半導体工業も子会社化したし、信越ポリマーはタイミングだけの問題かと。
たっくん,神戸投資勉強会,7970　信越ポリマー　親子上場
あいまる,湘南投資勉強会,7970 信越ポリマー 親子上場解消
グラッチ,湘南投資勉強会,7970 信越ポリマー　親子上場廃止期待
けん,湘南投資勉強会,"7986 日本アイエスケイ
上場維持基準未達で残る気がなさそう"
先高,湘南投資勉強会,7992 セーラー万年筆 ゴールド高騰が痛手。柱の万年筆、高級品の需要戻らず。筆頭株主のプラスが買収か!?
ちょる子,湘南投資勉強会,8001 セブン&アイ　買収されるかなぁ…
まるのん,湘南投資勉強会,8013 ナイガイ 業績不振による注記銘柄。タビオによる買収を予想。
なべさん@高配当バリュー投資家,湘南投資勉強会,8075神鋼商事　TOBお願いします(神戸製鋼)
一心,湘南投資勉強会,8105堀田丸正　赤字、上場維持基準適合不可能そう
やっしー,神戸投資勉強会,8133　伊藤忠エネクス
いち,湘南投資勉強会,8133 伊藤忠エネクス　TOB
ごろんちゃん,湘南投資勉強会,8133 伊藤忠エネクス TOB
くろせ,湘南投資勉強会,8133 伊藤忠エネクス TOB
にからご,湘南投資勉強会,8133 伊藤忠エネクス　TOBの可能性。
なのなの,湘南投資勉強会,8133 伊藤忠エネクス　WECARS（旧ビッグモーター）やナルネットコミュニケーションズなど、自動車関連会社と資本的繋がりを多く持つが、自動車アフターマーケットでの事業拡大を図る伊藤忠商事が完全子会社化してもおかしくない
K,神戸投資勉強会,8133 伊藤忠エネクス 伊藤忠TOB
スカイラー,湘南投資勉強会,8133 伊藤忠エネクス 伊藤忠の親子上場解消に期待
josui,湘南投資勉強会,8133 伊藤忠エネクス 伊藤忠商事によるTOB
めがね,神戸投資勉強会,8133 伊藤忠エネクス　親子上場
あんこ,神戸投資勉強会,8143 ラピーヌ　時価総額5億　減益予想
でこぽん,神戸投資勉強会,8165 千趣会 大赤字
おのこ,所属なし,8166　タカキュー　上場基準未達
ヒロユキ,初参加,8209 フレンドリー 長期赤字、財務も悪い。
イタル,湘南投資勉強会,8254 さいか屋 上場維持基準未達で上場廃止
Mくんニキ,神戸投資勉強会,8291 日産東ＨＤ  なんとなく！
弁天。,湘南投資勉強会,8291 日産東ＨＤ 低EBITDA1.49 ホンダと日産の合併のあおりをうけてこちらもTOBか。
いなじぃ,無所属,8291 日産東京販売ホールディング　本田と日産のHD化に伴う事業再編により非上場化
ケンロク,湘南投資勉強会,8291日産東京販売HD　ホンダ•日産の統合で販売会社も再編
kawasemi7,湘南投資勉強会,8410　セブン銀行　セブン＆アイHDのMBO構想で資金確保のため売却される可能性がある。
柊,湘南投資勉強会,8566 リコーリース TOB
たっくん,神戸投資勉強会,8566　リコーリース　親子上場
タダモノ,湘南投資勉強会,8570 イオンフィナンシャル　TOB
まつ,湘南投資勉強会,8596 九州リースサービス 西日本フィナンシャルによるTOB。
ケンロク,湘南投資勉強会,8596九州リース　西日本FHDによる子会社化
ボントレ,湘南投資勉強会,8793 NECキャピタル
タッチ,湘南投資勉強会,"8798 アドバンスクリエイト
決算延期と期末配当無配、業績も悪い"
大きなかぶ,湘南投資勉強会,"8841テーオーシー
MBO"
弁天。,湘南投資勉強会,8850 スターツ出版 親子上場解消。親会社からのTOB。
おとわ,湘南投資勉強会,8887　クミカ　基準に適合しない恐れがある
Lily,秋からIR説明会にどちらの勉強会でも参加させて頂いています。,8887 クミカ　経営統合したシーラテクノロジーズも財務内容悪い。
ビョル,神戸投資勉強会,8891AMGHD 親子上場
しも,湘南投資勉強会,8894　Revolution　QOOカードを配る前に終了疑惑
ドルトン,湘南投資勉強会,8894 ＲＥＶＯＬＵＴＩＯＮ よく知らないが、胡散臭いため。
Lily,秋からIR説明会にどちらの勉強会でも参加させて頂いています。,8894　ＲＥＶＯＬＵＴＩＯＮ 資金繰りが厳しい。
シンタロー,湘南投資勉強会,8905 イオンモール　親子上場の解消
タカ@takanovalue,湘南投資勉強会,8920 東祥 優待廃止など少数株主への不利益行為からMBOなどの可能性
cocoa,神戸投資勉強会,9006 京浜急行電鉄 合併のため
kazu4565,湘南投資勉強会,9057　遠州トラック　住友倉庫によるＭＢＯ
まつ,湘南投資勉強会,9057 遠州トラック 住友倉庫によるTOB。
なべさん@高配当バリュー投資家,湘南投資勉強会,9057遠州トラック　TOBお願いします(住友倉庫他物流系の)
グラッチ,湘南投資勉強会,9073 京極運輸　TOB
miya,湘南投資勉強会,9074 日本石油輸送 親子上場廃止
大陸浪人,湘南投資勉強会,9204 スカイマーク 鈴与によるTOB
ぷに丸,湘南投資勉強会,9216 ビーウィズ パソナによるTOB
mindset,湘南投資勉強会,9227 マイクロ波化学 もはやなつかしい。
松本,湘南投資勉強会,9229 サンウェルズ　診療報酬不正報道により株価暴落、決算も出なかった
写楽保介,湘南投資勉強会,9229　サンウェルズ　不正の調査結果が出て。。。
さすけ,湘南投資勉強会,9229　サンウェルズ　不正請求
_dee,神戸投資勉強会,9235 売れるネットG 胡散臭い
くりご飯,湘南投資勉強会,9235 売れる広告ネット　勘1。最後は華々しく散りそう
ブライ,神戸投資勉強会,9257 YCP ＪＤＲ銘柄いらなくね？上場のメリットなさそう。
あちし,湘南投資勉強会,9307 杉村倉庫 TOB
なべさん@高配当バリュー投資家,湘南投資勉強会,9312ケイヒン　TOBお願いします(物流系の)
まるのん,湘南投資勉強会,9327 イーロジット 業績不振や各種上場維持基準抵触、AZ-COM丸和によるTOB可能性
ぱじぃた,湘南投資勉強会,9362 兵機海運
伊豆太郎,湘南投資勉強会,9362 兵機海運 買収合戦により非公開化。
Tommy,湘南投資勉強会,9369 キユーソー流通システム キユーピーが本業に集中するとしておりTOBされると予想
にからご,湘南投資勉強会,9377 エージーピー　TOBの可能性。
ちゃちゃ,神戸投資勉強会,9399　ビート・ホールディングス・リミテッド　もう寸劇が持たない
人間,湘南投資勉強会,9405 DLE TOB
ミキスケ,湘南投資勉強会,9414  BS11　親子上場廃止？　
saku,湘南投資勉強会,9414　日本BS放送　さすがにそろそろ
とっしー,湘南投資勉強会,9414 日本BS放送　ビックカメラTOBあるかも
あきら,神戸投資勉強会,9414　日本ＢＳ放送　ビックカメラのＴＯＢ期待。
ぱお,湘南投資勉強会,9414 日本BS放送 親子上場解消
かもめ,湘南投資勉強会,9436　沖縄セルラー電話。親子上場解消の風潮を受けてKDDIが。
ひかり,無所属,9436沖縄セルラー電話　TOB
つま,湘南投資勉強会,9468 KADOKAWA TOB狙い。
boxman,湘南投資勉強会,9477 KADOKAWA sony の買収
mindset,湘南投資勉強会,9563 atlas technologies 買ってもまったく良いところがなかったので。
ヒデゾー,湘南投資勉強会,9613 NTTデータ NTTのTOB
saku,湘南投資勉強会,9613　NTTデータグループ　NTTの名前も変わるしそろそろいいかなと。
ポンポコたぬき,湘南投資勉強会,9691 両毛システムズ 親子上場解消
ベリーピザ,湘南投資勉強会,9696 ウィザス　アクティビストによる非上場化提案が実現する。
end,湘南投資勉強会,"9696ウィザス
スイスアジアに脅されている"
ゆうと,神戸投資勉強会,"9696ウィザス
同社は昨年6月の定時株主総会で筆頭株主のSwiss-Asia Financial Services Pte. Ltd.から買収防衛策の廃止などを求める株主提案を出されており、否決されたものの3～4割程度の賛同を得ていました。また、現状ではさらに買い増してSwiss-Asia Financial Services Pte. Ltd.は17.82%の株式を取得しており、同社に圧力がかかる局面であり、今般報道にあったように非公開化を提案している状態です。同社が非公開化を選択するかは定かではありませんが、同定時株主総会では経営陣は概ね2/3程度しか賛同が得られておらず、一定程度の少数株主はSwiss-Asia Financial Services Pte. Ltd.に賛同していることが明らかです。株主構成を同社にとって都合が良いように変えるにはPEファンド等と組んだMBOか、ホワイトナイト(同業周辺)による買収くらいしか手段がありません。ただ、幸いなことに同社はネットキャッシュも豊富であり、収益性の高い通信制の高校・大学事業があります。そのため、こうして非公開化提案が表に出ることで、アライアンスパートナーやスポンサーは声をかけやすい状態と言えると思われます。"
pekepeke,湘南投資勉強会,9719　SCSK　商社のIT子会社買収の流れが続く
ちちざっぷ,湘南投資勉強会,9719 SCSK 親会社住商へ
ISO,湘南投資勉強会,9719 SCSK 親子上場の廃止
HG,湘南投資勉強会,9749 富士ソフト　KKRによるTOBのため
Chiharu24,湘南投資勉強会,9763 丸紅建材リース　丸紅によるTOB
まちゃ,湘南投資勉強会,9795 ステップ いつも湘南の会場を使っているよしみでkenmoさんがTOB実施
ユーキ,湘南投資勉強会,9820 MTジェネックス　森トラストがTOB
ににもも,湘南投資勉強会,9852  CBグループマネジメント　やる気ないからMBOして逃げちゃいそう。
めそ,湘南投資勉強会,9856  ケーユーホールディングス
イド,湘南投資勉強会,9876 コックス イオンモールへ吸収合併
こうへい,湘南投資勉強会,9880 イノテック 産機向けの割合が多く中国不振で苦しんでいる半導体商社（3132 マクニカ辺り）が設計支援まで含めた提案やエッジAIの分野まで裾野を広げるためにTOBするかも。
ゴミの持ち腐れ,湘南投資勉強会,9885 シャルレ 若年層顧客獲得成功見込みなさそう。業績回復厳しい気がするから。（ここのタオルは愛用しています。）
まちゃ,湘南投資勉強会,9946 ミニストップ コンビニは大きなところがTOBされているのとイオン子会社をイオンがTOBという可能性も。
おのこ,所属なし,9946　ミニストップ　親子上場解消
cocoa,神戸投資勉強会,9973 KOZOホールディングス 業績悪化のため
ヒロユキ,初参加,9973 KOZOホールディングス 長期赤字、財務も悪い。
ビョル,神戸投資勉強会,9973KOZOホールディングス　そろそろ…
かめぞう,湘南投資勉強会,9978 文教堂HD　書店。売上高が長期低落傾向。自己資本も大きく減少。
にゃり,湘南投資勉強会,9978 文教堂グループホールディングス 取次による流通価格転嫁により、出版社による書籍の価格高騰。紙の書籍が売れなくなる。
一心,湘南投資勉強会,9980 MRK 上記２社と統合されそう
ちちざっぷ,湘南投資勉強会,9980 MRKHD 親会社の東証に向けた整理
マー,湘南投資勉強会,9980　MRKHL　
TAKAS,湘南投資勉強会,9984 ソフトバンクグループ　攻めてみました
ロカ,湘南投資勉強会,9991 ジェコス JFEではなくみずほリースによるTOBの可能性浮上
にこいち,四季報investors,AppBank(6177) 赤字拡大、事業方針がブレブレ、幹部の頭が悪すぎる
ULTRAGENKI 旧サバイブ,湘南投資勉強会,EDP  新たな発起改善薬の発見により
よつば,神戸投資勉強会,GAテック　株価が上がらない
五十嵐康伸,湘南投資勉強会,Ｇｕｎｏｓｙ (6047) 人材流出激しそう
ULTRAGENKI 旧サバイブ,湘南投資勉強会,ＨＩＳ  コロナ不正受給の悪事がから債務超過でさらば
よつば,神戸投資勉強会,Sapeet 上場ゴール
JoJo,湘南投資勉強会,WEWKQ　WeWork　再建に失敗するリスクが大きい
Cowとれーだー,湘南投資勉強会,アイチコーポ:豊田自動織機による子会社化
にこいち,四季報investors,オウケイW（3808）債務超過
五十嵐康伸,湘南投資勉強会,オキサイド (6521) MAしたイスラエルの関連会社が戦争で大ダメージ受けてそう
投資家N,神戸投資勉強会,クックパッド
タッピィ,所属していません,コーアツ工業(1743)。地方の中小の建設業は統合の波に揉まれる。
ULTRAGENKI 旧サバイブ,湘南投資勉強会,サンユウ  日鉄によるTOB
たぬ吉,湘南投資勉強会,ジーフット2686　イオンによる買収がなければ倒産の可能性大
アポロ,湘南投資勉強会,ジェリービーンズ　時価総額未達　連続赤字　現金3億　流動資産5.2億　流動負債1.9億
投資家N,神戸投資勉強会,ジャパンディスプレイ
タイ,湘南投資勉強会,シライ電子工業　MBO期待
きたやん,神戸投資勉強会,"ジンジブ

3ヶ月で中間報告を取り下げ、99%減の営業利益
を叩き出したから。"
よつば,神戸投資勉強会,シンワワイズ、不適切会計
タッピィ,所属していません,スターツ出版(7849)。「資本コスト株価意識」要請の圧力に負けてスターツ(8850)により完全子会社化。
サボリーマン,湘南投資勉強会,スパイダープラス　社長が◯スな為
まろまろ,湘南投資勉強会,"セブン&i 3382
思惑ニュースより"
せっきー,湘南投資勉強会,セブン＆アイ、伊藤家によるMBOをやらざるを得ない状況
momo,湘南投資勉強会,セブン銀行
piyopiyodawan,神戸投資勉強会,ソディック。TOB。
にこいち,四季報investors,タカキュー(8166)　債務超過
きたやん,神戸投資勉強会,"トーア坊

何年下降気味になっているから。"
まろまろ,湘南投資勉強会,"トプコン　7732
思惑ニュースから"
NY,神戸投資勉強会,トラスト　VT買い取ってー
momo,湘南投資勉強会,ナカノフドー
piyopiyodawan,神戸投資勉強会,ナカノフドー。MBO。
ミラグレーン,湘南投資勉強会,パリミキ　　mboされそう
フク,無し,パレモ　TOB予想
シュレディンガーのぱんだ,さいたま投資勉強会,ビープラッツ（本業が不調で純現金収支悪化のため）
蝦名美穂子,くまのもり,ピクセル業績が悪い
ayame,湘南投資勉強会,ファルテック。ホンダ・日産の経営統合により、部品メーカーが整理されることを見込んで。
タイ,湘南投資勉強会,フジオーゼックス　TOB期待
はるもふ,どちらにも所属していません,フジオーゼックス。大同特殊鋼によるTOB。
ダニエル,湘南投資勉強会,フジックス　赤字転落
Ottoto,湘南投資勉強会,ヘリオステクノ　TOB
piyopiyodawan,神戸投資勉強会,ポプラ。TOB。
タイ,湘南投資勉強会,ユタカ技研　TOB期待
Cowとれーだー,湘南投資勉強会,ユタカ技研:ホンダによる子会社化
ayame,湘南投資勉強会,ユニプレス。ホンダ・日産の経営統合により、部品メーカーが整理されることを見込んで。
まろまろ,湘南投資勉強会,"ローム　6963
パワー半導体連合のためTOB"
Ottoto,湘南投資勉強会,旭松食品　TOBかMBO
momo,湘南投資勉強会,岡本工作機械
投資家N,神戸投資勉強会,河西工業
ちゃっぴー,特になし,河西工業　日産の援助が必要だが、日産がそれどころではなくなってるため、助けられるかどうか。
ayame,湘南投資勉強会,河西工業。ホンダ・日産の経営統合により、部品メーカーが整理されることを見込んで。
Cowとれーだー,湘南投資勉強会,丸善CHI:大日本印刷による子会社化
はるもふ,どちらにも所属していません,三菱倉庫。三菱商事によるTOB
にゃんまる,湘南投資勉強会,小僧寿司　売れていないから
フックン,神戸投資勉強会,新光電気工業　産業革新機構によるTOB
ちょる子,湘南投資勉強会,大王製紙
アポロ,湘南投資勉強会,地域新聞社　時価総額未達　営業利益が赤字体質　現金9億　負債6.7億　
はるもふ,どちらにも所属していません,蝶理。東レによるTOB。
アポロ,湘南投資勉強会,鳥居薬品　JTによる親子上場解消の可能性
neko4979,東京勉強会,東映アニメーション　親会社より時価総額が高くなっているため
きたやん,神戸投資勉強会,"日産自動車
自動車産業はもう厳しいと思うから。"
蝦名美穂子,くまのもり,日産車体親子上場のため
五十嵐康伸,湘南投資勉強会,日野自動車 (7205) 不正のダメージがでかい
SAKANA,湘南投資勉強会,能美防災　セコムが50％の株をもっており、TOB期待
タピ,湘南投資勉強会,不二家　山崎製パンにTOB
ダニエル,湘南投資勉強会,フジックス　赤字転落
猫三昧,湘南投資勉強会,"7205日野自動車
トヨタに吸収合併"
猫三昧,湘南投資勉強会,"6740JDI
とうとう…"
猫三昧,湘南投資勉強会,"2586フルッタフルッタ
アサイーブーム終了で大量在庫抱えて…"